Country,Growth
Albania,-334775704.3199585
Algeria,-8133915283.599203
Andorra,18733251.699868478
Angola,-1.8857790027634304e+17
Antigua and Barbuda,20996969.948149357
Argentina,-19343925840.481567
Armenia,-1028458876420.7972
Aruba,27361100.375984315
Australia,42520031427.712585
Austria,6435508778.343276
Azerbaijan,-2259260488591.7656
Bahrain,820713343.5341544
Bangladesh,6107092402.315406
Barbados,29584673.0668505
Belarus,-2.358579431555157e+16
Belgium,7872016206.063303
Belize,51582197.840493076
Benin,275154174.41896504
Bermuda,17813325.977428094
Bhutan,50536475.066408165
Botswana,-429926539.9860429
Brazil,-498127094303240.44
Brunei Darussalam,183142564.45039997
Bulgaria,-228485510152.51727
Burkina Faso,359838125.6142822
Burundi,-175376605.11979258
Cabo Verde,51283405.15815226
Cameroon,543544885.4914798
Canada,33950606388.38063
Central African Republic,-7623671.771491546
Chad,386950383.5062191
Chile,4608668081.486849
China,458098278919.65485
Colombia,-9299126580.230171
Comoros,9464768.05335449
Costa Rica,-1145465690.8415146
Cuba,737683036.1952327
Cyprus,490523634.9210526
Czechia,5501906496.696614
Denmark,4853466865.3692255
Dominica,5611691.085452933
Dominican Republic,-633539101.334033
Ecuador,1515988016.5578349
El Salvador,392759938.73975784
Equatorial Guinea,449858395.4196993
Eswatini,-129777789.74146436
Ethiopia,-390053007.09044826
Fiji,38202342.27044478
Finland,4088148161.5666494
France,37668399330.83809
French Polynesia,7486964.241965705
Gabon,3530062.6660016766
Georgia,-193184289437198.3
Germany,45128355973.69422
Ghana,-52883143766.42784
Greece,-523397770.93581086
Greenland,43406141.93658516
Grenada,19732786.228533313
Guatemala,1285860861.8752475
Guinea,-1205248874.4900284
Guinea-Bissau,-256758719.85985535
Guyana,-80206480.62791444
Haiti,-1988919285.1780858
Honduras,-39207731.58564147
India,38856329004.997
Indonesia,-40741831363.33641
Iraq,-203866822489.02817
Ireland,10523849005.254473
Italy,4859374378.697672
Jamaica,-1444852635.6074166
Japan,59889833147.03449
Jordan,1098437538.8478782
Kazakhstan,-17787051704735.793
Kenya,-1827211557.4401126
Kiribati,1850132.0185217035
Lebanon,725293709.4272568
Lesotho,-47207638.117677145
Luxembourg,1610795400.4567633
Madagascar,-570695447.0935847
Malawi,-21095560714.62726
Malaysia,7888342395.795801
Mali,185848705.76975295
Malta,357989668.79699194
Marshall Islands,1955495.5337186723
Mauritania,-176796346.06987578
Mauritius,110373989.81539933
Mexico,-95268213398.63881
Monaco,146938633.98089093
Mongolia,-9405471272.77649
Morocco,3065046665.049269
Myanmar,-5892633513.952162
Namibia,-217352374.81152663
Nepal,107773627.87073918
Netherlands,13848371709.278627
New Zealand,4941466194.351751
Nicaragua,-9458508109.84751
Niger,221816425.30284634
Nigeria,-33856292282.78927
North Macedonia,-14243902992.982376
Norway,5519421064.4416
Oman,1942459363.766323
Pakistan,-12259697813.938835
Panama,1863359571.860311
Papua New Guinea,-602008316.3989527
Paraguay,-954970984.3481449
Peru,-1542443632.6358802
Philippines,6228365864.757026
Poland,4952228807.690761
Portugal,1995420262.436052
Puerto Rico,82005615.1432936
Romania,-875862192523.7051
Russian Federation,-525106210544897.44
Rwanda,-91162929.26480639
Samoa,19469158.571713746
Saudi Arabia,14438296460.794363
Senegal,358333368.1753347
Seychelles,-38425853.14005505
Sierra Leone,-510891990.3064882
Singapore,10868249942.506826
Solomon Islands,-9633299.649210345
South Africa,-13200497225.099009
Spain,16743977456.14447
Sri Lanka,-590708575.8789443
St. Vincent and the Grenadines,14704817.48420982
Suriname,-28044387860.185112
Sweden,7689331310.849071
Switzerland,17991696888.408127
Syrian Arab Republic,-646866237.2829838
Tajikistan,-1555651716042.7273
Thailand,6645732050.690453
Togo,52849611.676972665
Tonga,-4256214.2942333035
Trinidad and Tobago,560705686.3884203
Tunisia,-117356515.62209535
Turkmenistan,-150439829041137.0
Tuvalu,794503.1802025029
Uganda,-58097098.618642636
Ukraine,-1932981998406837.8
United Arab Emirates,9918856329.9741
United Kingdom,30775110861.664425
United States,341882017144.4845
Uruguay,-8984134853.130892
Uzbekistan,-201283886675549.0
Vanuatu,13730119.324732719
Viet Nam,4425577486.680591
Zambia,-12715448089.836468
Zimbabwe,-7413938525.036441
