,Country,Real GDP per Capita
0,Albania,3730.976373239596
1,Algeria,4505.385917557857
2,Andorra,38332.23358424332
3,Angola,480.08238566919744
4,Antigua and Barbuda,15055.143772011772
5,Argentina,1806.6963605005246
6,Armenia,3425.1001144410006
7,Aruba,25588.945277846888
8,Australia,64222.89164387648
9,Austria,44200.57759278332
10,Azerbaijan,2977.8504443132515
11,Bahrain,22512.688635641753
12,Bangladesh,1855.0224253302263
13,Barbados,16267.219261642605
14,Belarus,7680.262859372459
15,Belgium,41072.862279759
16,Belize,6139.287723715114
17,Benin,1040.8644023209827
18,Bermuda,99371.97336014004
19,Bhutan,3127.607526331402
20,Bosnia and Herzegovina,4599.9228129990315
21,Botswana,6568.512799199719
22,Brazil,6016.065849428798
23,Brunei Darussalam,32095.518304395428
24,Bulgaria,6947.635034250422
25,Burkina Faso,631.6483245369075
26,Burundi,92.47383474660529
27,Cabo Verde,2890.7121698909386
28,Cambodia,685.3429458105709
29,Cameroon,1407.8725013101016
30,Canada,43658.19151091094
31,Central African Republic,228.5702923656062
32,Chad,884.624197773414
33,Chile,15204.09130194472
34,China,7964.3230014624905
35,Colombia,6218.202278247447
36,Comoros,1138.605354107112
37,Costa Rica,12091.884526801108
38,Croatia,11808.454140309273
39,Cuba,4810.069638211222
40,Cyprus,23426.301066971595
41,Czechia,17864.272955448214
42,Denmark,53365.77784760143
43,Dominica,6292.333729159019
44,Dominican Republic,4465.629199058753
45,Ecuador,4332.866239867344
46,El Salvador,3712.9619982502577
47,Equatorial Guinea,8374.022134939856
48,Estonia,17404.964330620078
49,Eswatini,2731.9207760102363
50,Ethiopia,679.5770650083253
51,Fiji,4979.131932988673
52,Finland,42704.93028420131
53,France,36957.691879451464
54,French Polynesia,16491.56645676693
55,Gabon,4455.189548220316
56,Georgia,3965.3016635323293
57,Germany,40939.051183390795
58,Ghana,1234.6464628613378
59,Greece,18136.99557522083
60,Greenland,38059.18955591782
61,Grenada,6808.280704023524
62,Guatemala,3695.8127612272356
63,Guinea,564.5000064145287
64,Guinea-Bissau,405.269174932622
65,Guyana,5651.785963811705
66,Haiti,1158.7985611294334
67,Honduras,931.9842617125347
68,Hungary,12697.772891900508
69,Iceland,52912.49477134054
70,India,1341.7466098365283
71,Indonesia,2589.7395906144943
72,Iraq,4171.548074673761
73,Ireland,62583.5876684613
74,Israel,37463.576038196865
75,Italy,30548.08612421921
76,Jamaica,2617.779863441006
77,Japan,34891.689163489275
78,Jordan,4119.608412426938
79,Kazakhstan,3258.511273994129
80,Kenya,1584.2044340551586
81,Kiribati,1136.2732275693077
82,Kuwait,33745.737467713734
83,Latvia,13681.09652426887
84,Lebanon,6644.186848943984
85,Lesotho,803.696257702794
86,Liberia,619.0166012811278
87,Libya,8549.458059049948
88,Lithuania,13975.086748105872
89,Luxembourg,105455.89574435203
90,Madagascar,257.735103256292
91,Malawi,645.1727122262283
92,Malaysia,9688.165628879591
93,Maldives,9843.979360147685
94,Mali,413.5756431224251
95,Malta,24282.78099956415
96,Marshall Islands,3733.5492890062596
97,Mauritania,1641.4147762982573
98,Mauritius,9824.155523993235
99,Mexico,11580.98703692114
100,Monaco,168354.32491912076
101,Mongolia,3919.35121421746
102,Montenegro,5982.229522021253
103,Morocco,3074.2704761855534
104,Mozambique,781.915724225579
105,Myanmar,1237.7772287691166
106,Namibia,4965.673072292373
107,Nepal,658.672898632109
108,Netherlands,44891.449833628765
109,New Zealand,38774.97228025156
110,Nicaragua,990.9845840110899
111,Niger,480.74728931518905
112,Nigeria,1972.410167281194
113,North Macedonia,3615.345954033245
114,Norway,74368.69455582622
115,Oman,20454.89973920227
116,Pakistan,1420.7698841515703
117,Palau,16270.701859228311
118,Panama,14799.902288505957
119,Papua New Guinea,2402.6095922971426
120,Paraguay,5768.875588636048
121,Peru,4938.7177297079525
122,Philippines,3192.9169175718976
123,Poland,12372.531154785656
124,Portugal,19198.422449226684
125,Puerto Rico,2941.4102565049984
126,Qatar,73997.64456214444
127,Romania,4748.711651858179
128,Russian Federation,9668.189701712647
129,Rwanda,831.7294097515828
130,Samoa,3911.7750460899542
131,San Marino,38221.570744367746
132,Saudi Arabia,20651.176068362864
133,Senegal,1224.1002756846995
134,Serbia,5273.751028127417
135,Seychelles,13947.942636943055
136,Sierra Leone,228.5888727365503
137,Singapore,54513.10066622797
138,Slovenia,20707.84770686379
139,Solomon Islands,1946.5387309445841
140,South Africa,6192.227047517526
141,Spain,25844.611598777396
142,Sri Lanka,3777.7204483899263
143,St. Vincent and the Grenadines,7610.815116852999
144,Suriname,8908.01766032089
145,Sweden,51272.424197782006
146,Switzerland,84764.87768500598
147,Syrian Arab Republic,155.8677333542385
148,Tajikistan,104.20712646714256
149,Thailand,3952.109277188142
150,Timor-Leste,1322.2705211755158
151,Togo,780.7790684154618
152,Tonga,4135.782134925353
153,Trinidad and Tobago,20004.742474936673
154,Tunisia,3960.9233977411254
155,Turkmenistan,2407.879393890546
156,Tuvalu,3599.1916719983938
157,Uganda,857.1750949486647
158,Ukraine,2369.6883155115447
159,United Arab Emirates,41137.977687468316
160,United Kingdom,44921.863860565965
161,United States,56067.664873191454
162,Uruguay,18144.274747027182
163,Uzbekistan,1406.276093545954
164,Vanuatu,2059.489268775605
165,Viet Nam,1846.1133542064765
166,Zambia,875.0971000085492
167,Zimbabwe,14511.15822375882
